date,close
2021-07-01,288.35
2021-07-02,283.9
2021-07-03,297.86
2021-07-04,314.6
2021-07-05,306.31
2021-07-06,314.94
2021-07-07,334.22
2021-07-08,311.15
2021-07-09,316.26
2021-07-10,314.39
2021-07-11,325.96
2021-07-12,313.82
2021-07-13,307.6
2021-07-14,309.09
2021-07-15,317.58
2021-07-16,304.51
2021-07-17,302.79
2021-07-18,307.67
2021-07-19,281.27
2021-07-20,266.54
2021-07-21,286.34
2021-07-22,293.29
2021-07-23,289.82
2021-07-24,299.66
2021-07-25,299.73
2021-07-26,305.03
2021-07-27,309.25
2021-07-28,312.78
2021-07-29,313.18
2021-07-30,320.05
2021-07-31,337.93
2021-08-01,341.03
2021-08-02,330.96
2021-08-03,322.27
2021-08-04,335.3
2021-08-05,338.13
2021-08-06,338.91
2021-08-07,350.48
2021-08-08,343.36
2021-08-09,351.88
2021-08-10,373.58
2021-08-11,400.71
2021-08-12,384.43
2021-08-13,404.32
2021-08-14,409.68
2021-08-15,410.75
2021-08-16,420.11
2021-08-17,404.39
2021-08-18,393.6
2021-08-19,428.86
2021-08-20,457.32
2021-08-21,451.93
2021-08-22,443.63
2021-08-23,508.64
2021-08-24,476.45
2021-08-25,502.99
2021-08-26,484.44
2021-08-27,493.88
2021-08-28,487.85
2021-08-29,480.46
2021-08-30,477.94
2021-08-31,462.79
2021-09-01,487.57
2021-09-02,489.49
2021-09-03,490.27
2021-09-04,500.44
2021-09-05,503.68
2021-09-06,499.19
2021-09-07,410.59
2021-09-08,413.5
2021-09-09,422.04
2021-09-10,398.41
2021-09-11,409.91
2021-09-12,409.99
2021-09-13,400.73
2021-09-14,406.78
2021-09-15,430.03
2021-09-16,422.18
2021-09-17,405.57
2021-09-18,408.83
2021-09-19,412.74
2021-09-20,366.22
2021-09-21,352.33
2021-09-22,377.24
2021-09-23,381.61
2021-09-24,357.82
2021-09-25,349.28
2021-09-26,348.84
2021-09-27,341.54
2021-09-28,338.88
2021-09-29,363.55
2021-09-30,386
2021-10-01,421.69
2021-10-02,436.71
2021-10-03,426.98
2021-10-04,425.4
2021-10-05,442.62
2021-10-06,433.92
2021-10-07,444.21
2021-10-08,419.71
2021-10-09,421.74
2021-10-10,407.39
2021-10-11,410.67
2021-10-12,439.44
2021-10-13,462.25
2021-10-14,470.15
2021-10-15,472.89
2021-10-16,464.85
2021-10-17,466.46
2021-10-18,482.05
2021-10-19,485.13
2021-10-20,501.72
2021-10-21,476.14
2021-10-22,475.9
2021-10-23,482.02
2021-10-24,476.13
2021-10-25,484.42
2021-10-26,480.94
2021-10-27,454.68
2021-10-28,490.04
2021-10-29,530.94
2021-10-30,524.44
2021-10-31,525.52
2021-11-01,544.56
2021-11-02,557.1
2021-11-03,566.75
2021-11-04,558.15
2021-11-05,607.28
2021-11-06,630.19
2021-11-07,645.27
2021-11-08,652.23
2021-11-09,636.74
2021-11-10,610.12
2021-11-11,632.49
2021-11-12,623.54
2021-11-13,650.67
2021-11-14,648.68
2021-11-15,637.1
2021-11-16,591.71
2021-11-17,575.16
2021-11-18,529.15
2021-11-19,581.43
2021-11-20,604.04
2021-11-21,589.18
2021-11-22,563.92
2021-11-23,593.121
2021-11-24,588.498
2021-11-25,639.848
2021-11-26,590.289
2021-11-27,607.821
2021-11-28,603.022
2021-11-29,623.605
2021-11-30,626.764
2021-12-01,624.497
2021-12-02,624.209
2021-12-03,591.97
2021-12-04,564.597
2021-12-05,554.657
2021-12-06,590.029
2021-12-07,573.817
2021-12-08,598.138
2021-12-09,577.802
2021-12-10,562.714
2021-12-11,561.2
2021-12-12,571
2021-12-13,529.823
2021-12-14,526.801
2021-12-15,537.722
2021-12-16,533.36
2021-12-17,528.311
2021-12-18,535.614
2021-12-19,533.667
2021-12-20,521.956
2021-12-21,531.112
2021-12-22,539.069
2021-12-23,548.874
2021-12-24,543.226
2021-12-25,547.719
2021-12-26,548.374
2021-12-27,570.771
2021-12-28,536.007
2021-12-29,520.004
2021-12-30,517.703
2021-12-31,511.551
2022-01-01,525.605
2022-01-02,531.506
2022-01-03,512.651
2022-01-04,510.049
2022-01-05,475.752
2022-01-06,476.452
2022-01-07,447.955
2022-01-08,435.1
2022-01-09,440.2
2022-01-10,423.1
2022-01-11,461.646
2022-01-12,485.394
2022-01-13,476.991
2022-01-14,490.447
2022-01-15,496.148
2022-01-16,499.4
2022-01-17,473.589
2022-01-18,472.942
2022-01-19,468.54
2022-01-20,447.89
2022-01-21,382.115
2022-01-22,355.107
2022-01-23,371.274
2022-01-24,368.21
2022-01-25,382.291
2022-01-26,373.224
2022-01-27,387.694
2022-01-28,384.177
2022-01-29,389.917
2022-01-30,376.35
2022-01-31,376.188
2022-02-01,386.031
2022-02-02,369.532
2022-02-03,369.385
2022-02-04,396.117
2022-02-05,414.549
2022-02-06,411.665
2022-02-07,435.004
2022-02-08,410.669
2022-02-09,423.665
2022-02-10,419.694
2022-02-11,394.218
2022-02-12,403.402
2022-02-13,400.14
2022-02-14,403.702
2022-02-15,430.258
2022-02-16,428.314
2022-02-17,405.284
2022-02-18,397.939
2022-02-19,399.099
2022-02-20,384.992
2022-02-21,363.482
2022-02-22,370.985
2022-02-23,371.223
2022-02-24,354.942
2022-02-25,375.087
2022-02-26,373.649
2022-02-27,363.281
2022-02-28,392.857
2022-03-01,407.622
2022-03-02,409.582
2022-03-03,402.48
2022-03-04,375.313
2022-03-05,384.715
2022-03-06,380.714
2022-03-07,382.115
2022-03-08,380.376
2022-03-09,391.839
2022-03-10,372.449
2022-03-11,373.475
2022-03-12,375.038
2022-03-13,362.409
2022-03-14,369.574
2022-03-15,372.112
2022-03-16,383.115
2022-03-17,391.596
2022-03-18,395.898
2022-03-19,399.16
2022-03-20,393.057
2022-03-21,396.759
2022-03-22,406.403
2022-03-23,406.663
2022-03-24,414.066
2022-03-25,410.505
2022-03-26,414.566
2022-03-27,426.971
2022-03-28,434.474
2022-03-29,432.716
2022-03-30,442.733
2022-03-31,429.486
2022-04-01,444.078
2022-04-02,442.377
2022-04-03,450.18
2022-04-04,445.989
2022-04-05,449.945
2022-04-06,426.4
2022-04-07,435.543
2022-04-08,425.97
2022-04-09,422.427
2022-04-10,423.885
2022-04-11,393.118
2022-04-12,413.024
2022-04-13,422.227
2022-04-14,416.242
2022-04-15,417.483
2022-04-16,417.083
2022-04-17,414.383
2022-04-18,417.125
2022-04-19,420.684
2022-04-20,419.484
2022-04-21,406.341
2022-04-22,408.041
2022-04-23,405.981
2022-04-24,401.38
2022-04-25,403.14
2022-04-26,386.939
2022-04-27,390.539
2022-04-28,405.9
2022-04-29,392.239
2022-04-30,388.9
2022-05-01,388
2022-05-02,389.139
2022-05-03,383.062
2022-05-04,402.1
2022-05-05,377.224
2022-05-06,379.962
2022-05-07,365.627
2022-05-08,359.192
2022-05-09,307.439
2022-05-10,309.676
2022-05-11,269.001
2022-05-12,265.88
2022-05-13,298.691
2022-05-14,288.795
2022-05-15,308.598
2022-05-16,300.309
2022-05-17,305.003
2022-05-18,293.618
2022-05-19,305.194
2022-05-20,302.237
2022-05-21,311.395
2022-05-22,316.42
2022-05-23,324.31
2022-05-24,328.173
2022-05-25,328.705
2022-05-26,311.788
2022-05-27,301.598
2022-05-28,307.839
2022-05-29,303.366
2022-05-30,321.443
